Repo,Path,Has Docker,Docker Files,Web Ports,Has PoC,PoC Categories,PoC Files,Unittest Files,Docker Valid,Docker Message,Summary
AI-Powered-Vulnerability-Impact-Analyzer,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/AI-Powered-Vulnerability-Impact-Analyzer,No,,,Yes,Command Injection; RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/AI-Powered-Vulnerability-Impact-Analyzer/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/AI-Powered-Vulnerability-Impact-Analyzer/cve_analyzer.py,,No,,> 🤖 Where AI meets Security to tell you if you *really* need to panic about that CVE
winim,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/winim,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/winim/examples/com/MSScriptControl_ScriptControl.nim,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/winim/tests/clr_test.nim; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/winim/tests/winstr_test.nim; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/winim/tests/com_test.nim,No,,"Winim contains Windows API, struct, and constant definitions for Nim. The definitions are translated from MinGW's Windows headers and Windows 10 SDK h"
cursor-talk-to-figma-mcp,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/cursor-talk-to-figma-mcp,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/cursor-talk-to-figma-mcp/Dockerfile,,No,,,,Yes,Has Dockerfile (untested),"This project implements a Model Context Protocol (MCP) integration between Cursor AI and Figma, allowing Cursor to communicate with Figma for reading "
CMSeeK,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CMSeeK,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CMSeeK/Dockerfile,,Yes,Information Disclosure; RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CMSeeK/.gitignore; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CMSeeK/README.md,,Yes,Has Dockerfile (untested),"<img src=""https://i.imgur.com/5VYs1m2.png"" alt=""Logo""> <br>"
JNDI-Inject-Exploit,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/JNDI-Inject-Exploit,No,,,Yes,Command Injection; Deserialization; RCE; SQL Injection; SSRF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/JNDI-Inject-Exploit/pom.xml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/JNDI-Inject-Exploit/README.md,,No,,![JNDI-Inject-Exploit](https://socialify.git.ci/exp1orer/JNDI-Inject-Exploit/image?description=1&font=Inter&forks=1&issues=1&language=1&owner=1&patter
leetcode-java,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/leetcode-java,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/leetcode-java/src/NQueens51.java; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/leetcode-java/src/sort/RadixSort.java,,No,,|:----------------------------------------------------------------------------------:|
gdb-frontend,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/gdb-frontend,No,,,Yes,Header Injection; RCE; SQL Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/gdb-frontend/frontend/thirdparty/ace/mode-edifact.js; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/gdb-frontend/frontend/thirdparty/ace/mode-praat.js,,No,,[![GitHub release](https://img.shields.io/github/release/rohanrhu/gdb-frontend.svg?style=flat-square&color=informational)](https://github.com/rohanrhu
stefanoj3_dirstalk,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/stefanoj3_dirstalk,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/stefanoj3_dirstalk/Dockerfile,,No,,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/stefanoj3_dirstalk/pkg/cmd/result_view_integration_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/stefanoj3_dirstalk/pkg/cmd/scan_integration_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/stefanoj3_dirstalk/pkg/cmd/root_integration_test.go,Yes,Has Dockerfile (untested),![](https://github.com/stefanoj3/dirstalk/workflows/CI/badge.svg)
PowershellDetect,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/PowershellDetect,No,,,Yes,RCE; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/PowershellDetect/README.md,,No,,该资源详细介绍Powershell脚本混淆、解混淆、抽象语法树提取、token提取、恶意性检测等内容，希望对您有所帮助！
ThreatPinchLookup,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ThreatPinchLookup,No,,,Yes,RCE; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ThreatPinchLookup/configs/API/IBMXForce/IBMXFORCEIP.json; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ThreatPinchLookup/configs/API/IBMXForce/IBMXFORCEEFQDN.json,,No,,ThreatPinch Lookup creates informational tooltips when hovering oven an item of interest on any website. It helps speed up security investigations by 
Checklists,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Checklists,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Checklists/Credential-Access.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Checklists/Defense-Evasion.md,,No,,"Even though, a penetration test is a creative process most people maintain private checklists to ensure that they will not forget to test networks, sy"
magicRecon,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/magicRecon,No,,,Yes,Command Injection; RCE; SQL Injection; SSRF; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/magicRecon/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/magicRecon/images/poc.gif,,No,,"<a href=""https://ibb.co/kG6XBMQ""><img src=""https://i.ibb.co/QJjMQXr/magicrecon.png"" alt=""magicrecon"" style=""width:100%""></a>"
chitu,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/chitu,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/chitu/Dockerfile,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/chitu/chitu/config/models/DeepSeek-V3.2-Exp.yaml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/chitu/chitu/config/models/DeepSeek-V3.2-Exp-kv-fp8.yaml,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/chitu/test/test_mmlu_tool.exp; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/chitu/test/test_pd_disagg.exp; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/chitu/test/test_dp8_automated.exp,Yes,Has Dockerfile (untested),[![Ask DeepWiki](https://deepwiki.com/badge.svg)](https://deepwiki.com/thu-pacman/chitu)
pentest_tools,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/pentest_tools,No,,,Yes,Command Injection; Header Injection; SSRF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/pentest_tools/漏洞利用/应用漏洞/iis/iis6_remote_exec.rb; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/pentest_tools/漏洞利用/应用漏洞/memcached/11211_auth_poc.sh,,No,,对实用常用工具做一个分类整理，网上收集，后门自查
Raikia_Kali-Setup,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Raikia_Kali-Setup,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Raikia_Kali-Setup/modules/templates/metasploit.py,,No,,This script idea was originally taken from g0tmi1k (https://github.com/g0tmi1k/os-scripts).  I do not claim credit for the basis of the script!
ZhangZhuoSJTU_StochFuzz,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ZhangZhuoSJTU_StochFuzz,No,,,Yes,Information Disclosure; RCE; SSRF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ZhangZhuoSJTU_StochFuzz/.gitignore; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ZhangZhuoSJTU_StochFuzz/benchmark/c-ares-CVE-2016-5180.normal,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ZhangZhuoSJTU_StochFuzz/test/test_daemon_ignore_asan_sof.sh; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ZhangZhuoSJTU_StochFuzz/test/test_daemon.sh,No,,[![test](https://github.com/ZhangZhuoSJTU/StochFuzz/actions/workflows/basic.yml/badge.svg)](https://github.com/ZhangZhuoSJTU/StochFuzz/actions/workflo
prompt-description-language,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/prompt-description-language,No,,,Yes,Command Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/prompt-description-language/ChangeLog.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/prompt-description-language/README.md,,No,,PDL (Prompt Description Language) format provides an extensible way to describe the behavior and characteristics of prompts. Inspired by `json/yaml/to
LeetCode-Go,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/LeetCode-Go,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/LeetCode-Go/leetcode/0164.Maximum-Gap/164. Maximum Gap.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/LeetCode-Go/leetcode/0052.N-Queens-II/README.md,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/LeetCode-Go/leetcode/0474.Ones-and-Zeroes/474. Ones and Zeroes_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/LeetCode-Go/leetcode/0046.Permutations/46. Permutations_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/LeetCode-Go/leetcode/1629.Slowest-Key/1629. Slowest Key_test.go,No,,[LeetCode Online Judge](https://leetcode.com/) is a website containing many **algorithm questions**. Most of them are real interview questions of **Go
wannakey,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/wannakey,No,,,Yes,Header Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/wannakey/wannakey/third-party/boost/random/lognormal_distribution.hpp; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/wannakey/wannakey/third-party/boost/multiprecision/cpp_bin_float/io.hpp,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/wannakey/wannakey/third-party/boost/mpl/aux_/na_spec.hpp; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/wannakey/wannakey/third-party/boost/mpl/aux_/traits_lambda_spec.hpp; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/wannakey/wannakey/third-party/boost/mpl/aux_/arity_spec.hpp,No,,"This software has only been tested and known to work under Windows XP, 7 x86,"
ReaverAPKTools,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ReaverAPKTools,No,,,Yes,Command Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ReaverAPKTools/JEB 3.7.0 Crack破解版/JEB 3.7官方Demo/siglibs/ndk/ndk-arm-r20-libmath-api-16.siglib; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ReaverAPKTools/JEB 3.7.0 Crack破解版/JEB 3.7官方Demo/siglibs/ndk/ndk-arm64-r16-libmath-api-21.siglib,,No,,ReaverAPKTools
ovaa,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ovaa,No,,,Yes,Deserialization; Information Disclosure,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ovaa/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ovaa/app/src/main/res/layout/activity_main.xml,,No,,OVAA (Oversecured Vulnerable Android App) is an Android app that aggregates all the platform's known and popular security vulnerabilities.
xunsearch,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/xunsearch,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/xunsearch/Dockerfile,,Yes,Header Injection; RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/xunsearch/etc/stopwords.txt; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/xunsearch/src/log.h,,Yes,Has Dockerfile (untested),Xunsearch （中文名：迅搜）是一套免费开源的专业中文全文检索解决方案，简单易用而且
zmap_zgrab2,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/zmap_zgrab2,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/zmap_zgrab2/Dockerfile; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/zmap_zgrab2/integration_tests/docker-compose.yml,"80, 443",Yes,RCE; SSRF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/zmap_zgrab2/integration_tests/ntp/container-openntp/ntpd.conf; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/zmap_zgrab2/integration_tests/http/test.sh,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/zmap_zgrab2/conn_bytelimit_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/zmap_zgrab2/utility_test.go; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/zmap_zgrab2/conn_timeout_test.go,No,docker-compose not found,"ZGrab is a fast, modular application-layer network scanner designed for completing large Internet-wide surveys. ZGrab is built to work with ZMap (ZMap"
sec-chart,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/sec-chart,No,,,Yes,Command Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/sec-chart/恶意分析/java_exploit_.png; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/sec-chart/恶意分析/exploit.jpg,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/sec-chart/Web安全/pentest_method.jpg,No,,有关信息安全的一些截图及流程图分享「Security Flow chart」。
public-pentesting-reports,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/public-pentesting-reports,No,,,Yes,Command Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/public-pentesting-reports/PwC/conti-cyber-attack-on-the-hse-full-report.pdf; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/public-pentesting-reports/SPoC/A-LIGN_SPoC_Penetration_Test.pdf,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/public-pentesting-reports/SPoC/A-LIGN_SPoC_Penetration_Test.pdf; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/public-pentesting-reports/CertiK/BHP_Mobile_Wallet_Penetration_Test_Report_01-09-2021.pdf,No,,A repository containing public penetration test reports published by consulting firms and academic security groups.
ThreatHunter-Playbook,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ThreatHunter-Playbook,No,,,Yes,RCE; SQL Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ThreatHunter-Playbook/README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ThreatHunter-Playbook/docs/intro.md,,No,,[![Binder](https://mybinder.org/badge_logo.svg)](https://mybinder.org/v2/gh/OTRF/ThreatHunter-Playbook/master)
WINspect,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/WINspect,No,,,Yes,RCE; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/WINspect/README.md,,No,,WINspect is part of a larger project for auditing different areas of Windows environments.
fastapi-admin,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/fastapi-admin,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/fastapi-admin/docker-compose.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/fastapi-admin/Dockerfile,,No,,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/fastapi-admin/conftest.py,No,docker-compose not found,[![image](https://img.shields.io/pypi/v/fastapi-admin.svg?style=flat)](https://pypi.python.org/pypi/fastapi-admin)
beholder_scanner,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/beholder_scanner,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/beholder_scanner/docker-compose.yml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/beholder_scanner/Dockerfile,,No,,,,No,docker-compose not found,**beholder**是一款简洁而小巧的系统，主要作用是通过监控端口变化来发现企业内部的信息孤岛。例如：运维或开发新部署了一台机器未通知安全。没有采用masscan+nmap的组合进行检测，原因是在实际的使用中发现，虽然masscan可以提高扫描速度，但是漏报的情况太严重了。最终还是只使用nmap
ruffle,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ruffle,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ruffle/web/docker/Dockerfile,,Yes,Command Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ruffle/swf/tests/swfs/zlib.fla; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ruffle/core/src/avm1/globals/math.rs,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ruffle/swf/src/test_data.rs; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ruffle/core/src/avm1/test_utils.rs; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/ruffle/tests/framework/src/runner/image_test.rs,Yes,Has Dockerfile (untested),"<a href=""https://ruffle.rs""><img alt=""Ruffle"" src=""https://ruffle.rs/logo.svg"" /></a>"
wJa,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/wJa,No,,,Yes,RCE; SSRF; XXE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/wJa/script/SpringBoot/App.cheetah,,No,,No README found
FuzzScanner,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/FuzzScanner,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/FuzzScanner/vuln_domain.txt; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/FuzzScanner/vuln_ip.txt,,No,,一个用来进行信息搜集的工具集，主要是用于对网站子域名、开放端口、端口指纹、c段地址、敏感目录、链接爬取等信息进行批量搜集。
nogotofail,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/nogotofail,No,,,Yes,RCE; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/nogotofail/nogotofail/clients/linux/pyblame/__main__.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/nogotofail/nogotofail/clients/android/app/src/main/java/net/nogotofail/AttacksPreferenceFragment.java,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/nogotofail/nogotofail/test/mitm/util/tls/test_handshake.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/nogotofail/nogotofail/test/android/app/src/main/res/layout/tls_test_activity.xml; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/nogotofail/nogotofail/test/android/app/src/main/res/layout/http_test_activity.xml,No,,Nogotofail is a network security testing tool designed to help developers and
sjr7_shoppingMall,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/sjr7_shoppingMall,No,,,Yes,Header Injection; XSS; XXE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/sjr7_shoppingMall/taotao-item-application/src/main/resources/templates/item.ftl; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/sjr7_shoppingMall/taotao-manager-application/src/main/webapp/js/kindeditor-4.1.10/plugins/emoticons/images/0.gif,,No,,"使用主流框架组合SSM开发,并引入新技术,全面丰富的一个商城项目,美其名曰""京东商城"""
cursor-tools,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/cursor-tools,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/cursor-tools/tests/reports/main/test-asset-handling_report_2025-03-11T15-03-47-377Z.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/cursor-tools/tests/reports/main/repo-command_report_2025-03-12T07-46-49-533Z.md,,No,,"<img height=""72"" src=""https://github.com/user-attachments/assets/45eff178-242f-4d84-863e-247b080cc6f5"" />"
SharpC2,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SharpC2,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/SharpC2/TeamServer/Dockerfile,"80, 443",No,,,,Yes,Has Dockerfile (untested),[![Documentation Status](https://readthedocs.org/projects/sharpc2/badge/?version=latest)](https://sharpc2.readthedocs.io/en/latest/?badge=latest)
HttpInterface,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/HttpInterface,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/HttpInterface/IHttp/clear.bat,,No,,主要实现了HTTP的get\post方法，下载到内存、下载到本地文件，回调下载进度等接口  测试程序中展现了常用的几个方法。
Life-Time-Tracker,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Life-Time-Tracker,No,,,Yes,Command Injection; RCE; RCE; SQL Injection; SQL Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Life-Time-Tracker/libs/jquery.qtip.js; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Life-Time-Tracker/libs/ace/mode-praat.js,,No,,=====================
datasploit,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/datasploit,No,,,Yes,XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/datasploit/.gitignore; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/datasploit/docs/index.md,,No,,[![Arsenal-2017-EU](https://github.com/toolswatch/badges/blob/master/arsenal/europe/2017.svg)](http://www.toolswatch.org/2017/09/black-hat-arsenal-eur
traxss,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/traxss,Yes,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/traxss/Dockerfile,,Yes,RCE; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/traxss/README.md,,Yes,Has Dockerfile (untested),<b>Automated Vulnerability Scanner for XSS</b> | <b>Written in Python3</b> | <b>Utilizes Selenium Headless</b>
Awesome-Hacking-Resources,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Awesome-Hacking-Resources,No,,,Yes,SQL Injection; XSS,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Awesome-Hacking-Resources/tools.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/Awesome-Hacking-Resources/README.md,,No,,"<img width=""200"" src=""https://github.com/sindresorhus/awesome/raw/main/media/logo.svg"" alt=""awesome"">"
shiro_rememberMe_Rce,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/shiro_rememberMe_Rce,No,,,Yes,Deserialization; RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/shiro_rememberMe_Rce/shiro_rememberMe_Rce.py,,No,,No README found
PromptWizard,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/PromptWizard,No,,,Yes,SQL Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/PromptWizard/SECURITY.md,,No,,<a href='https://arxiv.org/abs/2405.18369'>
CVE-2018-2628,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2018-2628,No,,,Yes,SSRF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2018-2628/weblogic_poc.client1.for.scan-cve-2018-2628.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2018-2628/README.md,,No,,简单解读：https://mp.weixin.qq.com/s?__biz=MzU0NzYzMzU0Mw==&mid=2247483673&idx=1&sn=45360b4ed1c95947088121b28cb1e45e&chksm=fb4a21f1cc3da8e748b3ac6e37ac483b
javasec,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/javasec,No,,,Yes,Command Injection; Command Injection; LFI/RFI; Deserialization; Header Injection; SSRF,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/javasec/5.IDEA调试技巧1.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/javasec/18.Weblogic之XMLDecoder反序列化1_CVE-2017-3506.md,,No,,![GitHub](https://img.shields.io/github/license/Maskhe/javasec)
anx-reader,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/anx-reader,No,,,Yes,RCE; SQL Injection,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/anx-reader/assets/foliate-js/src/vendor/prism/components/prism-basic.min.js; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/anx-reader/assets/foliate-js/src/vendor/prism/components/prism-haskell.min.js,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/anx-reader/ohos/entry/src/ohosTest/resources/base/profile/test_pages.json; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/anx-reader/test/logger_test.dart; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/anx-reader/test/widget_test.dart,No,,"<img src=""./docs/images/Anx-logo.jpg"" alt=""Anx-logo"" width=""100"" />"
EtherGhost,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/EtherGhost,No,,,Yes,,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/EtherGhost/ether_ghost/utils/eng_words_map.json,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/EtherGhost/test_environment/test.py; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/EtherGhost/test_environment/test_README.md; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/EtherGhost/test_environment/test_proc.php,No,,![头图](./assets/social-preview.jpg)
CVE-2020-3153,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2020-3153,No,,,Yes,RCE,/mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2020-3153/CVE-2020-3153.sln; /mnt/nvme/wj_code/dl_scan/awesome-hacking-lists/local_repos/CVE-2020-3153/sequence_diagrams.md,,No,,Cisco AnyConnect < 4.8.02042 privilege escalation through path traversal
