Repo,Folder Path,Has Docker,Port,PoC Logic,Show Description,Vulnerabilities,Origin URL
PasteHunter,local_repos/PasteHunter,Yes,4,SQL Injection,"This repository provides lfi/rfi, path traversal, header injection proof-of-concept with Docker deployment on port 4 demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'Header Injection', 'SSRF', 'SQL Injection']",https://github.com/kevthehermit/PasteHunter
weblogic_unserialize_exploit,local_repos/weblogic_unserialize_exploit,No,,"LFI, Deserialization","This repository provides rce, path traversal, sql injection proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Path Traversal', 'SQL Injection', 'LFI/RFI']",https://github.com/hanc00l/weblogic_unserialize_exploit
burpcollaborator-docker,local_repos/burpcollaborator-docker,Yes,,RCE,"This repository provides rce, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'SQL Injection']",https://github.com/devoteam-cybertrust/burpcollaborator-docker
bottleneckOsmosis,local_repos/bottleneckOsmosis,No,,SQL Injection,"This repository provides ssrf, xss, header injection proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'XSS', 'Header Injection', 'RCE', 'LFI/RFI', 'Path Traversal']",https://github.com/7dog7/bottleneckOsmosis
urlscan,local_repos/urlscan,No,,SQL Injection,"This repository provides header injection, ssrf, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'SSRF', 'LFI/RFI', 'SQL Injection', 'XSS', 'Path Traversal']",https://github.com/wgpsec/urlscan
kube-tarian_tarian,local_repos/kube-tarian_tarian,Yes,8,RCE,"This repository provides lfi/rfi, xss, header injection proof-of-concept with Docker deployment on port 8 demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'Header Injection', 'RCE', 'SSRF', 'Path Traversal']",https://github.com/kube-tarian/tarian
aws-samples_aws-serverless-security-workshop,local_repos/aws-samples_aws-serverless-security-workshop,No,,RCE,"This repository provides rce, ssrf, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['RCE', 'SSRF', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'XSS', 'Header Injection']",https://github.com/aws-samples/aws-serverless-security-workshop
xssValidator,local_repos/xssValidator,No,,XSS,"This repository provides rce, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'XSS', 'SQL Injection', 'Header Injection', 'SSRF']",https://github.com/NetSPI/xssValidator
santacruz,local_repos/santacruz,Yes,65536,RCE,"This repository provides rce, lfi/rfi, ssrf proof-of-concept with Docker deployment on port 65536 demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'SSRF']",https://github.com/c-sh0/santacruz
fofa_view,local_repos/fofa_view,No,,RCE,"This repository provides lfi/rfi, xss, sql injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'SQL Injection', 'Header Injection', 'RCE', 'Path Traversal']",https://github.com/fofapro/fofa_view
geth-analyze,local_repos/geth-analyze,Yes,30303/udp,RCE,"This repository provides lfi/rfi, rce, header injection proof-of-concept with Docker deployment on port 30303/udp demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Header Injection', 'SQL Injection', 'Path Traversal', 'SSRF', 'XSS']",https://github.com/learnerLj/geth-analyze
sinaptik-ai_pandas-ai,local_repos/sinaptik-ai_pandas-ai,Yes,14,RCE,"This repository provides rce, lfi/rfi, header injection proof-of-concept with Docker deployment on port 14 demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Header Injection', 'SQL Injection', 'SSRF', 'XSS']",https://github.com/sinaptik-ai/pandas-ai
kAFL,local_repos/kAFL,Yes,,RCE,"This repository provides lfi/rfi, rce, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Path Traversal', 'SQL Injection']",https://github.com/IntelLabs/kAFL
httpdump,local_repos/httpdump,No,,"RCE, Header Injection","This repository provides header injection, lfi/rfi, xss proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'LFI/RFI', 'XSS', 'SQL Injection']",https://github.com/hsiafan/httpdump
gin,local_repos/gin,No,,RCE,"This repository provides header injection, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'RCE', 'XSS', 'SSRF']",https://github.com/gin-gonic/gin
jonluca_Anubis,local_repos/jonluca_Anubis,Yes,,RCE,"This repository provides lfi/rfi, header injection, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Header Injection', 'SSRF']",https://github.com/jonluca/Anubis
moco,local_repos/moco,No,,RCE,"This repository provides ssrf, header injection, rce proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'Header Injection', 'RCE', 'XSS', 'LFI/RFI']",https://github.com/dreamhead/moco
AIlice,local_repos/AIlice,Yes,5000,RCE,"This repository provides rce, lfi/rfi, ssrf proof-of-concept with Docker deployment on port 5000 demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'SSRF', 'XSS', 'Deserialization', 'SQL Injection', 'Header Injection']",https://github.com/myshell-ai/AIlice
hooker,local_repos/hooker,No,,"RCE, SQL Injection","This repository provides header injection, sql injection, rce proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'SQL Injection', 'RCE', 'LFI/RFI', 'Path Traversal', 'XSS']",https://github.com/CreditTone/hooker
blackSQL,local_repos/blackSQL,No,,"RCE, SQL Injection","This repository provides ssrf, sql injection, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'SQL Injection', 'LFI/RFI', 'Header Injection']",https://github.com/sharafdin/blackSQL
nikto,local_repos/nikto,Yes,,"RCE, SQL Injection","This repository provides lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal']",https://github.com/sullo/nikto
EyeWitness,local_repos/EyeWitness,Yes,8,"RCE, SQL Injection","This repository provides rce, lfi/rfi, xss proof-of-concept with Docker deployment on port 8 demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'XSS', 'SSRF', 'SQL Injection', 'Header Injection', 'Deserialization']",https://github.com/RedSiege/EyeWitness
BurpSuite-Xkeys,local_repos/BurpSuite-Xkeys,No,,Web Application,Security research repository - BurpSuite-Xkeys,[],https://github.com/vsec7/BurpSuite-Xkeys
Nightingale,local_repos/Nightingale,Yes,1,"RCE, RFI","This repository provides lfi/rfi, ssrf, rce proof-of-concept with Docker deployment on port 1 demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'RCE']",https://github.com/RAJANAGORI/Nightingale
Clouditerahub.io,local_repos/Clouditerahub.io,No,,RCE,"This repository provides xss, lfi/rfi, sql injection proof-of-concept demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'SQL Injection', 'RCE', 'Header Injection', 'Deserialization']",https://github.com/Clouditera/Clouditera.github.io
wfh45678_radar,local_repos/wfh45678_radar,No,,RCE,"This repository provides sql injection, ssrf, header injection proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'SSRF', 'Header Injection', 'XSS', 'RCE', 'LFI/RFI']",https://github.com/wfh45678/radar
dcc,local_repos/dcc,No,,RCE,"This repository provides lfi/rfi, sql injection, deserialization proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'Deserialization', 'XSS', 'Header Injection', 'RCE']",https://github.com/amimo/dcc
Phishious,local_repos/Phishious,No,,RCE,"This repository provides lfi/rfi, sql injection, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'XSS', 'Deserialization', 'Header Injection', 'RCE', 'Path Traversal']",https://github.com/CanIPhish/Phishious
noVNC,local_repos/noVNC,No,,RCE,"This repository provides xss, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'RCE', 'Header Injection']",https://github.com/novnc/noVNC
ballcat,local_repos/ballcat,No,,RCE,"This repository provides ssrf, header injection, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'Header Injection', 'LFI/RFI', 'SQL Injection', 'XSS', 'Deserialization', 'RCE']",https://github.com/ballcat-projects/ballcat
JSFinderAAA,local_repos/JSFinderAAA,No,,LFI,"This repository provides xss, header injection, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'LFI/RFI', 'SSRF', 'Path Traversal']",https://github.com/YS11i/JSFinderAAA
msldap,local_repos/msldap,No,,RCE,"This repository provides lfi/rfi, sql injection, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'XSS', 'RCE', 'Header Injection', 'Path Traversal']",https://github.com/skelsec/msldap
frida-ios-hook,local_repos/frida-ios-hook,No,,RCE,"This repository provides rce, xss, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['RCE', 'XSS', 'LFI/RFI', 'SSRF', 'SQL Injection', 'Path Traversal']",https://github.com/noobpk/frida-ios-hook
blackjump,local_repos/blackjump,No,,RCE,"This repository provides xss, lfi/rfi, ssrf proof-of-concept demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'SSRF', 'Path Traversal']",https://github.com/tarihub/blackjump
BBTz,local_repos/BBTz,No,,RCE,"This repository provides ssrf, xss, rce proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'XSS', 'RCE', 'Path Traversal', 'LFI/RFI', 'SQL Injection', 'Header Injection']",https://github.com/m4ll0k/BBTz
ssr-bbr-docker,local_repos/ssr-bbr-docker,Yes,,RCE,This repository provides rce proof-of-concept with Docker deployment demonstrating web-based attack vectors.,['RCE'],https://github.com/letssudormrf/ssr-bbr-docker
ngbdf_redis-manager,local_repos/ngbdf_redis-manager,Yes,,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'Header Injection', 'SQL Injection', 'XSS', 'SSRF']",https://github.com/ngbdf/redis-manager
FastGPT,local_repos/FastGPT,Yes,,RCE,"This repository provides xss, header injection, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'LFI/RFI', 'Path Traversal', 'SSRF', 'SQL Injection', 'RCE']",https://github.com/labring/FastGPT
cursor-talk-to-figma-mcp,local_repos/cursor-talk-to-figma-mcp,Yes,3055,RCE,"This repository provides lfi/rfi, ssrf, rce proof-of-concept with Docker deployment on port 3055 demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'RCE', 'XSS']",https://github.com/sonnylazuardi/cursor-talk-to-figma-mcp
CMSeeK,local_repos/CMSeeK,Yes,,"RCE, Header Injection","This repository provides rce, lfi/rfi, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'SSRF', 'SQL Injection', 'XSS', 'Header Injection']",https://github.com/Tuhinshubhra/CMSeeK
JNDI-Inject-Exploit,local_repos/JNDI-Inject-Exploit,No,,"RCE, RFI","This repository provides header injection, rce proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'RCE']",https://github.com/exp1orer/JNDI-Inject-Exploit
Gotrip,local_repos/Gotrip,No,,RCE,"This repository provides xss, header injection, rce proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Header Injection', 'RCE', 'LFI/RFI', 'Path Traversal', 'SQL Injection']",https://github.com/lorateam/Gotrip
leetcode-java,local_repos/leetcode-java,No,,RCE,"This repository provides sql injection, lfi/rfi, rce proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'LFI/RFI', 'RCE', 'Path Traversal']",https://github.com/fluency03/leetcode-java
gdb-frontend,local_repos/gdb-frontend,No,,RCE,"This repository provides lfi/rfi, rce, header injection proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Header Injection', 'SSRF', 'Path Traversal', 'XSS', 'SQL Injection', 'Deserialization']",https://github.com/rohanrhu/gdb-frontend
stefanoj3_dirstalk,local_repos/stefanoj3_dirstalk,Yes,,RCE,"This repository provides ssrf, header injection, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SSRF', 'Header Injection', 'LFI/RFI', 'RCE']",https://github.com/stefanoj3/dirstalk
ZeroScan,local_repos/ZeroScan,No,,RCE,"This repository provides xss, ssrf, path traversal proof-of-concept demonstrating web-based attack vectors.","['XSS', 'SSRF', 'Path Traversal', 'SQL Injection', 'RCE', 'LFI/RFI']",https://github.com/5alt/ZeroScan
chitu,local_repos/chitu,Yes,,RCE,"This repository provides lfi/rfi, rce, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'SQL Injection', 'SSRF', 'XSS', 'Header Injection', 'Path Traversal']",https://github.com/thu-pacman/chitu
pentest_tools,local_repos/pentest_tools,No,,RCE,"This repository provides rce, lfi/rfi, header injection proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Header Injection', 'Path Traversal', 'SSRF', 'SQL Injection', 'XSS']",https://github.com/l3m0n/pentest_tools
qshell,local_repos/qshell,No,,RCE,"This repository provides rce, lfi/rfi, header injection proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Header Injection', 'XSS']",https://github.com/qiniu/qshell
LeetCode-Go,local_repos/LeetCode-Go,No,,RCE,"This repository provides sql injection, lfi/rfi, rce proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'LFI/RFI', 'RCE', 'Path Traversal', 'Header Injection', 'XSS', 'SSRF']",https://github.com/halfrost/LeetCode-Go
cloud-torrent,local_repos/cloud-torrent,Yes,,RCE,"This repository provides xss, lfi/rfi, header injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'Header Injection']",https://github.com/jpillora/cloud-torrent
dvyukov_go-fuzz,local_repos/dvyukov_go-fuzz,No,,"RCE, LFI","This repository provides sql injection, lfi/rfi, header injection proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'LFI/RFI', 'Header Injection', 'XSS', 'RCE']",https://github.com/dvyukov/go-fuzz
ReaverAPKTools,local_repos/ReaverAPKTools,No,,RCE,"This repository provides rce, header injection, xss proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Header Injection', 'XSS', 'LFI/RFI', 'SQL Injection', 'Path Traversal']",https://github.com/HangZhouCat/ReaverAPKTools
xunsearch,local_repos/xunsearch,Yes,8384,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept with Docker deployment on port 8384 demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'Deserialization', 'XSS', 'Header Injection']",https://github.com/hightman/xunsearch
rangehttpserver,local_repos/rangehttpserver,No,,RCE,"This repository provides header injection, rce, path traversal proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'RCE', 'Path Traversal']",https://github.com/smgoller/rangehttpserver
zmap_zgrab2,local_repos/zmap_zgrab2,Yes,,RCE,"This repository provides lfi/rfi, xss, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'XSS', 'SQL Injection', 'Header Injection', 'RCE', 'Path Traversal', 'SSRF']",https://github.com/zmap/zgrab2
ast-scope,local_repos/ast-scope,No,,LFI/RFI,"This repository provides lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal']",https://github.com/nkzawa/ast-scope
docup,local_repos/docup,No,,XSS,"This repository provides xss, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'Path Traversal']",https://github.com/egoist/docup
layout-ui,local_repos/layout-ui,No,,XSS,This repository provides xss proof-of-concept demonstrating web-based attack vectors.,['XSS'],https://github.com/0123cf/layout-ui
JavaID,local_repos/JavaID,No,,"RCE, SSRF","This repository provides sql injection, deserialization, rce proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'Deserialization', 'RCE']",https://github.com/Cryin/JavaID
fastapi-admin,local_repos/fastapi-admin,Yes,8000,XSS,"This repository provides ssrf, xss, lfi/rfi proof-of-concept with Docker deployment on port 8000 demonstrating web-based attack vectors.","['SSRF', 'XSS', 'LFI/RFI', 'Path Traversal']",https://github.com/fastapi-admin/fastapi-admin
beholder_scanner,local_repos/beholder_scanner,Yes,6379,RCE,"This repository provides sql injection, xss, rce proof-of-concept with Docker deployment on port 6379 demonstrating web-based attack vectors.","['SQL Injection', 'XSS', 'RCE', 'LFI/RFI', 'Path Traversal']",https://github.com/zj1244/beholder_scanner
pipx,local_repos/pipx,No,,RCE,"This repository provides rce, header injection, xss proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Header Injection', 'XSS', 'LFI/RFI', 'SSRF', 'Path Traversal']",https://github.com/pypa/pipx
napkins,local_repos/napkins,No,,RCE,Security research repository - napkins,[],https://github.com/ericciarla/napkins
ruffle,local_repos/ruffle,Yes,,RCE,"This repository provides header injection, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['Header Injection', 'LFI/RFI', 'Path Traversal', 'RCE', 'SQL Injection', 'XSS', 'SSRF']",https://github.com/ruffle-rs/ruffle
vue-mall,local_repos/vue-mall,No,,RCE,"This repository provides ssrf, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'LFI/RFI', 'Path Traversal', 'RCE', 'XSS']",https://github.com/yucccc/vue-mall
FuzzScanner,local_repos/FuzzScanner,No,,RCE,"This repository provides header injection, rce, ssrf proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'RCE', 'SSRF', 'LFI/RFI', 'SQL Injection', 'XSS', 'Path Traversal']",https://github.com/TideSec/FuzzScanner
nogotofail,local_repos/nogotofail,No,,RCE,"This repository provides lfi/rfi, header injection, rce proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Header Injection', 'RCE', 'SQL Injection', 'XSS', 'Path Traversal']",https://github.com/google/nogotofail
sjr7_shoppingMall,local_repos/sjr7_shoppingMall,No,,RCE,"This repository provides ssrf, xss, header injection proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'XSS', 'Header Injection', 'RCE', 'LFI/RFI', 'Path Traversal', 'SQL Injection']",https://github.com/sjr7/shoppingMall
cursor-tools,local_repos/cursor-tools,No,,RCE,"This repository provides sql injection, lfi/rfi, ssrf proof-of-concept demonstrating web-based attack vectors.","['SQL Injection', 'LFI/RFI', 'SSRF', 'Path Traversal', 'XSS', 'RCE']",https://github.com/eastlondoner/cursor-tools
SharpC2,local_repos/SharpC2,Yes,,RCE,"This repository provides xss, rce, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['XSS', 'RCE', 'Path Traversal']",https://github.com/rasta-mouse/SharpC2
Life-Time-Tracker,local_repos/Life-Time-Tracker,No,,RCE,"This repository provides xss, ssrf, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['XSS', 'SSRF', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'RCE', 'Header Injection', 'Deserialization']",https://github.com/walkdoer/Life-Time-Tracker
datasploit,local_repos/datasploit,No,,RCE,"This repository provides xss, rce, ssrf proof-of-concept demonstrating web-based attack vectors.","['XSS', 'RCE', 'SSRF', 'Path Traversal', 'LFI/RFI', 'Header Injection']",https://github.com/dvopsway/datasploit
traxss,local_repos/traxss,Yes,,XSS,"This repository provides lfi/rfi, sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection']",https://github.com/M4cs/traxss
gszfwsb_NCFM,local_repos/gszfwsb_NCFM,No,,SQL Injection,"This repository provides lfi/rfi, path traversal, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal', 'XSS', 'SQL Injection']",https://github.com/gszfwsb/NCFM
PromptWizard,local_repos/PromptWizard,No,,RCE,"This repository provides lfi/rfi, rce, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'XSS', 'Deserialization', 'SQL Injection', 'SSRF']",https://github.com/microsoft/PromptWizard
nextly-template,local_repos/nextly-template,No,,RCE,"This repository provides lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'Path Traversal']",https://github.com/web3templates/nextly-template
anx-reader,local_repos/anx-reader,No,,RCE,"This repository provides ssrf, rce, xss proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'RCE', 'XSS', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'Header Injection']",https://github.com/Anxcye/anx-reader
qiniu_qshell,local_repos/qiniu_qshell,No,,RCE,"This repository provides rce, lfi/rfi, header injection proof-of-concept demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Header Injection', 'XSS']",https://github.com/qiniu/qshell
markdown-to-image,local_repos/markdown-to-image,No,,RCE,"This repository provides header injection, xss, ssrf proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'XSS', 'SSRF']",https://github.com/gcui-art/markdown-to-image
EtherGhost,local_repos/EtherGhost,No,,"RCE, XSS","This repository provides xss, lfi/rfi, path traversal proof-of-concept demonstrating web-based attack vectors.","['XSS', 'LFI/RFI', 'Path Traversal', 'RCE', 'SSRF', 'Header Injection', 'SQL Injection']",https://github.com/Marven11/EtherGhost
netease-youdao_QAnything,local_repos/netease-youdao_QAnything,Yes,,"RCE, RFI","This repository provides rce, ssrf, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'SSRF', 'LFI/RFI', 'Header Injection', 'SQL Injection', 'Path Traversal', 'XSS']",https://github.com/netease-youdao/QAnything
pdf-to-podcast,local_repos/pdf-to-podcast,Yes,6379,RCE,"This repository provides lfi/rfi, ssrf, rce proof-of-concept with Docker deployment on port 6379 demonstrating web-based attack vectors.","['LFI/RFI', 'SSRF', 'RCE', 'SQL Injection', 'Path Traversal', 'XSS']",https://github.com/NVIDIA-AI-Blueprints/pdf-to-podcast
Nuages,local_repos/Nuages,No,,RCE,"This repository provides rce, path traversal, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Path Traversal', 'LFI/RFI', 'Header Injection', 'SSRF', 'XSS']",https://github.com/p3nt4/Nuages
Fuzzing-Survey,local_repos/Fuzzing-Survey,No,,RCE,"This repository provides lfi/rfi, sql injection, xss proof-of-concept demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'XSS', 'RCE', 'Header Injection']",https://github.com/SoftSec-KAIST/Fuzzing-Survey
PixivUtil2,local_repos/PixivUtil2,Yes,,"RCE, SQL Injection","This repository provides sql injection, rce, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'RCE', 'LFI/RFI', 'Header Injection', 'XSS', 'SSRF']",https://github.com/Nandaka/PixivUtil2
Richsploit,local_repos/Richsploit,No,,RCE,This repository provides rce proof-of-concept demonstrating web-based attack vectors.,['RCE'],https://github.com/redtimmy/Richsploit
revbshell,local_repos/revbshell,No,,RCE,"This repository provides header injection, rce proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'RCE']",https://github.com/bitsadmin/revbshell
argo-workflows,local_repos/argo-workflows,Yes,,RCE,"This repository provides sql injection, rce, lfi/rfi proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'RCE', 'LFI/RFI', 'XSS', 'Header Injection', 'Path Traversal', 'SSRF']",https://github.com/argoproj/argo-workflows
jianchang512_clone-voice,local_repos/jianchang512_clone-voice,Yes,,RCE,"This repository provides rce, sql injection, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'SQL Injection', 'SSRF', 'Path Traversal', 'XSS', 'LFI/RFI', 'Header Injection']",https://github.com/jianchang512/clone-voice
op1repacker,local_repos/op1repacker,No,,RCE,"This repository provides rce, path traversal, sql injection proof-of-concept demonstrating web-based attack vectors.","['RCE', 'Path Traversal', 'SQL Injection']",https://github.com/op1hacks/op1repacker
kiterunner,local_repos/kiterunner,No,,RCE,"This repository provides header injection, ssrf, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['Header Injection', 'SSRF', 'LFI/RFI', 'SQL Injection', 'Path Traversal', 'RCE']",https://github.com/assetnote/kiterunner
projectdiscovery_uncover,local_repos/projectdiscovery_uncover,Yes,,RCE,"This repository provides lfi/rfi, rce, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'RCE', 'Path Traversal', 'Header Injection']",https://github.com/projectdiscovery/uncover
testssl_testssl.sh,local_repos/testssl_testssl.sh,Yes,,"RCE, RFI","This repository provides lfi/rfi, sql injection, xss proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['LFI/RFI', 'SQL Injection', 'XSS', 'Header Injection', 'RCE', 'Path Traversal']",https://github.com/testssl/testssl.sh
mini-kali,local_repos/mini-kali,Yes,,RCE,Security research repository - mini-kali,[],https://github.com/rene-d/mini-kali
BypassAV-Online,local_repos/BypassAV-Online,No,,RCE,"This repository provides rce, xss, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['RCE', 'XSS', 'LFI/RFI', 'Path Traversal']",https://github.com/yutianqaq/BypassAV-Online
GRFICSv2,local_repos/GRFICSv2,Yes,,RFI,"This repository provides rce, lfi/rfi, path traversal proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'XSS', 'SQL Injection', 'Header Injection']",https://github.com/Fortiphyd/GRFICSv2
Struts2scan,local_repos/Struts2scan,No,,RCE,"This repository provides ssrf, rce, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'RCE', 'LFI/RFI', 'Path Traversal']",https://github.com/Abs1n7he/Struts2scan
nashcontrol_bounty-monitor,local_repos/nashcontrol_bounty-monitor,Yes,,SQL Injection,This repository provides sql injection proof-of-concept with Docker deployment demonstrating web-based attack vectors.,['SQL Injection'],https://github.com/nashcontrol/bounty-monitor
ghidra-evm,local_repos/ghidra-evm,No,,SQL Injection,"This repository provides ssrf, sql injection, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'SQL Injection', 'LFI/RFI', 'Path Traversal']",https://github.com/adelapie/ghidra-evm
gonet2_geoip,local_repos/gonet2_geoip,Yes,50000,RFI,Security research repository - gonet2_geoip,[],https://github.com/gonet2/geoip
FlowAnalysisDocker,local_repos/FlowAnalysisDocker,Yes,1800,RFI,Security research repository - FlowAnalysisDocker,[],https://github.com/automayt/FlowAnalysisDocker
outline,local_repos/outline,Yes,6379,RCE,"This repository provides rce, lfi/rfi, path traversal proof-of-concept with Docker deployment on port 6379 demonstrating web-based attack vectors.","['RCE', 'LFI/RFI', 'Path Traversal', 'SQL Injection', 'XSS']",https://github.com/outline/outline
spring-boot-demo,local_repos/spring-boot-demo,Yes,,RCE,"This repository provides sql injection, header injection, ssrf proof-of-concept with Docker deployment demonstrating web-based attack vectors.","['SQL Injection', 'Header Injection', 'SSRF', 'XSS', 'RCE', 'LFI/RFI', 'Path Traversal']",https://github.com/xkcoding/spring-boot-demo
fingerprint,local_repos/fingerprint,No,,RCE,"This repository provides xss, path traversal, lfi/rfi proof-of-concept demonstrating web-based attack vectors.","['XSS', 'Path Traversal', 'LFI/RFI', 'Header Injection', 'RCE', 'SQL Injection']",https://github.com/r0eXpeR/fingerprint
RequestRecorder,local_repos/RequestRecorder,No,,SQL Injection,"This repository provides ssrf, header injection, xss proof-of-concept demonstrating web-based attack vectors.","['SSRF', 'Header Injection', 'XSS', 'LFI/RFI']",https://github.com/gdgd009xcd/RequestRecorder
wewe-rss,local_repos/wewe-rss,Yes,8,SQL Injection,"This repository provides xss, ssrf, lfi/rfi proof-of-concept with Docker deployment on port 8 demonstrating web-based attack vectors.","['XSS', 'SSRF', 'LFI/RFI', 'Path Traversal', 'RCE', 'SQL Injection']",https://github.com/cooderl/wewe-rss
